city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/h,O3/8h,SO2/1h
阿坝州,29,11,28,0.3,6,73,50,8
阿克苏地区,59,18,66,0.5,26,58,55,6
阿拉善盟,47,11,24,0.33,5,106,92,6
阿勒泰地区,30,8,12,0.3,7,76,58,11
阿里地区,37,1,8,0.4,23,68,72,8
安康,47,21,46,0.6,13,67,28,10
安庆,52,30,51,0.66,11,118,64,6
鞍山,15,9,14,0.8,13,37,27,7
安顺,36,15,28,0.48,18,113,55,19
安阳,53,19,54,2.02,31,55,51,12
白城,19,6,16,0.4,5,57,36,6
百色,50,33,49,0.8,9,71,26,17
白山,14,6,13,0.45,6,25,17,7
白银,45,11,44,0.65,29,103,65,21
保定,45,16,44,0.4,30,50,29,6
宝鸡,29,9,25,0.26,14,92,52,4
保山,46,32,43,0.65,17,91,49,8
包头,32,4,20,0.54,5,88,62,6
巴彦淖尔,31,9,23,0.57,7,96,55,7
巴中,38,22,37,0.75,17,73,38,5
北海,30,8,29,0.53,5,49,44,5
北京,35,6,19,0.39,10,86,68,2
蚌埠,31,4,12,0.3,10,64,60,9
本溪,18,2,8,0.57,6,40,35,4
毕节,52,25,52,0.7,32,82,35,8
滨州,28,3,27,1.05,15,39,42,3
博州,39,11,38,0.25,18,72,56,7
亳州,32,5,7,0.4,4,75,62,2
沧州,23,6,8,0.37,10,58,44,6
长春,19,6,18,0.42,13,43,20,3
常德,36,8,20,0.54,8,104,71,4
昌都,56,6,59,0.8,15,65,54,10
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,48,18,47,0.67,26,73,45,10
长沙,52,25,52,0.77,18,134,94,6
常熟,40,13,35,0.55,15,126,76,10
长治,41,21,40,1.02,16,103,56,22
常州,34,18,33,0.67,24,90,57,9
朝阳,18,9,13,0.6,6,42,35,8
潮州,61,33,69,0.7,9,92,64,7
承德,19,10,16,0.45,10,60,34,7
成都,72,49,92,0.93,54,136,63,12
郴州,52,20,52,0.8,18,81,35,17
赤峰,29,4,14,0.43,16,51,57,5
池州,42,24,41,0.63,25,110,57,9
重庆,53,23,54,0.89,47,110,47,8
崇左,16,0,0,0.6,6,0,30,12
楚雄州,48,25,47,0.75,20,87,24,12
滁州,44,16,43,0.5,8,89,68,7
大连,36,13,22,0.48,8,72,70,4
大理州,36,16,29,0.6,12,90,71,5
丹东,21,6,11,0.55,5,50,40,4
大庆,21,14,20,0.36,6,58,36,3
大同,33,5,21,0.52,7,84,65,9
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,36,12,35,0.45,6,37,19,4
达州,55,28,58,0.54,32,88,51,18
德宏州,38,19,37,1.05,13,32,12,15
德阳,63,37,73,0.73,21,160,97,6
德州,25,2,5,0.37,5,57,49,4
定西,34,7,28,0.45,26,105,32,9
迪庆州,41,11,40,0.6,14,81,40,8
东莞,36,23,35,0.74,29,71,37,8
东营,26,0,3,0.23,2,54,51,4
鄂尔多斯,29,7,20,0.75,14,90,57,13
恩施州,43,13,42,0.8,21,47,28,4
鄂州,41,13,40,1.07,19,129,70,14
防城港,33,9,32,0.53,9,56,41,5
佛山,42,18,41,0.73,20,96,51,11
抚顺,19,5,9,0.44,6,38,37,8
阜新,22,9,15,0.44,5,44,42,4
阜阳,36,5,9,0.33,15,94,70,2
富阳,38,20,37,0.8,15,84,41,5
福州,46,30,45,0.73,12,104,49,4
抚州,42,25,41,0.82,7,122,68,9
甘南州,51,29,50,0.7,0,101,40,5
赣州,59,41,61,1.23,11,141,50,13
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,34,22,33,0.4,14,61,33,14
广安,45,17,41,0.78,26,143,55,14
广元,28,9,27,0.55,25,62,24,18
广州,47,26,46,0.71,28,90,44,8
贵港,57,35,62,0.88,22,47,28,13
桂林,43,20,42,0.68,13,89,55,8
贵阳,77,41,101,0.88,50,78,24,19
果洛州,0,0,0,0.0,0,0,0,0
固原,34,8,31,0.6,9,107,49,11
哈尔滨,14,6,13,0.49,10,44,22,7
海北州,44,12,20,0.9,10,128,87,10
海东地区,38,21,32,0.5,27,120,36,12
海口,24,9,23,0.5,8,52,32,4
海门,32,14,29,0.77,17,100,62,11
海南州,48,17,0,0.7,7,150,89,11
海西州,114,43,175,1.0,15,140,130,15
哈密地区,98,31,143,0.75,31,59,47,4
邯郸,26,13,23,0.78,18,64,51,7
杭州,34,16,33,0.55,13,105,35,4
汉中,46,20,45,0.95,16,81,49,42
鹤壁,27,9,24,0.53,13,79,52,9
河池,30,15,29,0.73,13,87,51,6
合肥,33,3,16,0.43,10,90,65,3
鹤岗,12,7,10,0.48,3,29,22,5
黑河,39,15,38,0.53,9,48,23,8
衡水,22,9,17,0.4,14,50,43,7
衡阳,67,31,82,1.03,17,128,51,23
和田地区,500,198,609,0.7,9,77,63,14
河源,31,11,30,0.85,14,85,36,8
菏泽,27,6,11,0.6,7,56,52,5
贺州,52,29,52,0.8,12,71,27,6
红河州,50,35,49,0.93,10,97,53,82
淮安,22,3,12,0.43,12,37,43,5
淮北,26,5,6,0.47,4,51,50,3
怀化,60,28,68,1.12,11,91,37,5
淮南,36,5,19,0.37,14,87,70,10
黄冈,54,29,55,0.95,13,138,75,10
黄南州,47,12,34,0.8,10,113,92,5
黄山,32,9,24,0.43,11,101,63,15
黄石,45,23,44,1.0,21,108,65,17
呼和浩特,28,3,14,0.51,13,83,55,6
惠州,29,12,28,0.72,27,46,41,5
葫芦岛,23,8,13,0.77,13,40,44,41
呼伦贝尔,20,13,15,0.3,5,62,31,1
湖州,59,41,58,0.79,36,87,58,11
佳木斯,13,8,12,0.56,5,16,15,2
吉安,63,41,73,0.75,10,122,64,20
江门,47,19,46,0.76,20,77,47,8
江阴,37,6,18,0.73,16,111,72,13
胶南,20,13,14,0.95,15,44,39,3
胶州,19,10,18,0.5,11,41,32,5
焦作,58,37,64,0.95,19,102,76,9
嘉兴,34,18,25,0.7,11,108,46,4
嘉峪关,47,19,39,0.6,31,0,92,24
揭阳,47,28,46,0.65,8,91,51,5
吉林,28,19,13,0.66,10,77,35,12
即墨,21,0,11,0.9,14,39,40,4
济南,21,3,4,0.36,9,43,41,5
金昌,37,16,36,0.53,8,117,72,8
晋城,53,18,54,0.6,16,89,54,14
景德镇,65,35,77,0.9,15,134,37,13
荆门,72,45,91,0.94,34,78,45,6
荆州,40,20,39,0.67,13,103,56,7
金华,57,29,62,0.67,12,116,46,9
济宁,19,2,7,0.43,7,41,37,9
金坛,35,8,22,1.1,11,103,69,10
晋中,38,15,37,0.4,9,104,45,8
锦州,25,5,6,0.54,8,42,48,5
九江,44,23,43,0.64,11,123,77,7
酒泉,57,15,61,1.1,37,64,86,27
鸡西,52,9,51,0.38,7,32,18,5
句容,33,7,15,0.9,8,96,65,20
开封,55,27,57,0.63,13,100,60,6
喀什地区,177,124,302,0.83,36,53,39,8
克拉玛依,43,14,42,0.82,22,81,71,5
克州,103,42,153,0.6,20,72,70,4
库尔勒,179,72,306,0.63,20,73,52,6
昆明,46,28,45,1.06,29,85,29,14
昆山,39,10,33,0.65,16,124,61,8
来宾,71,50,90,0.95,16,77,45,52
莱芜,88,65,99,0.67,18,89,77,10
莱西,24,2,6,0.7,5,54,46,6
莱州,24,12,0,1.1,14,47,47,9
廊坊,30,10,15,0.18,7,85,58,2
兰州,53,17,53,0.83,48,103,50,27
拉萨,34,7,23,0.47,15,73,67,8
乐山,53,28,54,0.82,30,95,32,8
凉山州,50,30,49,0.86,23,93,65,24
连云港,23,7,12,0.68,14,35,44,5
聊城,25,6,7,0.4,9,48,48,5
辽阳,17,7,16,0.43,12,28,23,9
辽源,24,7,9,0.7,8,54,47,6
丽江,37,14,32,0.63,13,115,68,8
临安,32,18,31,0.5,9,45,17,2
临沧,28,19,23,0.7,10,66,36,7
临汾,58,31,64,1.08,16,111,54,20
临夏州,49,16,48,0.55,14,102,52,8
临沂,18,3,7,0.53,11,34,34,4
林芝,18,7,15,0.4,9,37,35,8
林芝地区,18,4,16,0.35,6,51,35,3
丽水,52,23,52,0.57,14,106,31,5
六盘水,63,33,73,1.0,34,96,74,18
柳州,44,25,43,0.82,13,88,55,5
溧阳,38,16,23,0.95,12,115,75,7
陇南,33,9,20,0.4,15,102,53,14
龙岩,52,27,52,0.68,9,105,33,7
娄底,42,22,41,0.92,14,101,57,11
六安,32,4,11,0.43,5,83,63,4
漯河,43,18,42,0.55,15,80,47,9
洛阳,54,27,55,0.7,24,57,51,8
泸州,44,21,43,0.73,33,112,38,21
吕梁,38,15,37,1.07,31,43,14,18
马鞍山,31,5,17,0.73,11,87,61,8
茂名,37,17,36,0.57,11,71,37,12
眉山,50,18,46,0.77,28,159,42,16
梅州,43,23,42,0.8,12,97,29,6
绵阳,54,26,55,0.5,16,121,78,6
牡丹江,16,6,11,0.34,9,48,23,3
南昌,57,29,62,0.56,16,134,69,9
南充,67,41,82,0.7,27,105,42,4
南京,34,5,13,0.47,7,81,67,4
南宁,55,22,58,0.71,24,74,27,8
南平,36,25,33,0.7,6,114,57,6
南通,34,9,28,0.7,17,105,57,13
南阳,45,21,44,1.12,13,142,69,10
那曲地区,64,27,76,0.73,13,53,40,5
内江,51,15,50,0.83,53,110,47,15
宁波,37,22,36,0.64,24,115,45,7
宁德,64,36,76,0.78,18,91,45,8
怒江州,55,29,58,0.55,12,45,26,4
盘锦,20,3,9,0.43,11,41,38,5
攀枝花,76,53,99,2.62,54,54,28,91
蓬莱,24,7,22,0.9,6,62,47,4
平顶山,36,19,35,0.88,13,89,58,9
平度,25,17,24,0.8,11,28,30,6
平凉,35,6,19,0.35,8,111,52,7
萍乡,53,16,53,0.56,13,125,67,13
普洱,28,7,27,0.2,10,42,21,7
莆田,51,21,50,0.6,9,101,51,5
濮阳,24,6,18,0.63,12,60,47,7
黔东南州,42,22,41,0.45,23,74,31,6
黔南州,53,22,53,0.3,19,75,24,13
黔西南州,18,7,17,1.0,31,57,26,27
青岛,21,6,14,0.58,13,32,40,4
庆阳,39,6,19,0.55,6,110,76,7
清远,53,31,54,0.6,17,85,37,10
秦皇岛,24,5,7,0.2,5,44,47,5
钦州,26,8,25,0.73,8,63,44,9
齐齐哈尔,45,17,44,0.33,8,46,33,4
七台河,12,8,6,0.63,10,21,13,4
泉州,47,28,46,0.65,14,116,52,6
曲靖,55,16,57,1.05,19,106,38,17
衢州,37,25,36,0.77,11,109,43,7
日喀则,27,13,26,0.35,6,65,44,3
日喀则地区,29,6,27,0.35,2,68,56,5
日照,17,11,16,0.43,15,31,29,4
荣成,39,13,38,0.75,7,81,74,3
乳山,32,4,14,0.7,7,76,63,6
三门峡,46,15,45,0.55,14,76,31,9
三明,58,31,63,0.95,16,72,24,7
三沙,30,7,20,0.3,30,51,58,6
三亚,17,5,14,0.4,0,49,32,3
上海,37,15,25,0.51,18,117,62,5
商洛,44,8,43,0.35,7,111,52,4
商丘,188,141,140,1.27,30,34,32,9
上饶,52,35,52,0.57,11,109,41,11
山南,31,4,6,0.4,11,62,60,2
山南地区,40,5,21,0.45,6,65,79,4
汕头,32,20,31,0.7,10,93,62,7
汕尾,30,11,29,0.57,10,92,58,7
